,TITLE,ACCEPTED
724,Genetic Algorithm and Naïve Bayes-Based (GANB) Diabetes Mellitus Prediction System,YES
725,Comprehensive Study—A Deep Learning and Machine Learning Classification Methods for Cardiogram Images,YES
726,Glioma Brain Tumor Segmentation in Four MRI Modalities Using a Convolutional Neural Network and Based on a Transfer Learning Method,YES
727,Dr. AI: A Heterogeneous Clinical Decision Support System for Personalised Health Care,YES
728,The Special Session Title ‘Intelligent Computing in Healthcare’ Dual Classification Framework for the Detection of Brain Tumor,YES
729,R code and downstream analysis objects for the scRNA-seq atlas of normal and tumorigenic human breast tissue,YES
730,Accurate classification of carotid endarterectomy indication using physician claims and hospital discharge data,YES
731,Unsupervised machine learning for identifying important visual features through bag-of-words using histopathology data from chronic kidney disease,YES
732,Prediction of 30-day risk of acute exacerbation of readmission in elderly patients with COPD based on support vector machine model,YES
733,DNA methylation-based epigenetic signatures predict somatic genomic alterations in gliomas,YES
734,CT-based deep learning enables early postoperative recurrence prediction for intrahepatic cholangiocarcinoma,YES
735,Evaluating machine learning classifiers for glaucoma referral decision support in primary care settings,YES
736,Deep learning network for integrated coil inhomogeneity correction and brain extraction of mixed MRI data,YES
737,An image classification deep-learning algorithm for shrapnel detection from ultrasound images,YES
738,Use of a deep-learning-based lumen extraction method to detect significant stenosis on coronary computed tomography angiography in patients with severe coronary calcification,YES
