,TITLE,ACCEPTED
114,"Machine learning techniques for identification of carcinogenic mutations, which cause breast adenocarcinoma",YES
115,Joint deep learning for batch effect removal and classification toward MALDI MS based metabolomics,YES
116,Medical domain knowledge in domain-agnostic generative AI,YES
117,In silico prediction of UGT-mediated metabolism in drug-like molecules via graph neural network,YES
118,Blood–brain barrier penetration prediction enhanced by uncertainty estimation,YES
119,Explainable machine learning for real-time deterioration alert prediction to guide pre-emptive treatment,YES
120,Dental anomaly detection using intraoral photos via deep learning,YES
121,Deep learning for preoperative prediction of the EGFR mutation and subtypes based on the MRI image of spinal metastasis from primary NSCLC,YES
122,An Intelligent Hybrid Ensemble Gene Selection Model for Autism Using DNN,YES
123,Brain Tumor Classification Using Image Fusion and EFPA-SVM Classifier,YES
124,An Optimized Technique for RNA Prediction Based on Neural Network,YES
125,Machine learning generalizability across healthcare settings: insights from multi-site COVID-19 screening,YES
126,A Chinese multi-modal neuroimaging data release for increasing diversity of human brain mapping,YES
127,Virtual ChIP-seq: predicting transcription factor binding by learning from the transcriptome,YES
128,Classification of painful or painless diabetic peripheral neuropathy and identification of the most powerful predictors using machine learning models in large cross-sectional cohorts,YES
129,Automatic lesion segmentation using atrous convolutional deep neural networks in dermoscopic skin cancer images,YES
130,An algorithm to identify cases of pulmonary arterial hypertension from the electronic medical record,YES
131,Using generative adversarial networks for genome variant calling from low depth ONT sequencing data,YES
132,Identifying tumor cells at the single-cell level using machine learning,YES
133,Development of convolutional neural network model for diagnosing meniscus tear using magnetic resonance image,YES
134,Modeling cancer immunoediting in tumor microenvironment with system characterization through the ising-model Hamiltonian,YES
135,"Predicting EGFR mutation, ALK rearrangement, and uncommon EGFR mutation in NSCLC patients by driverless artificial intelligence: a cohort study",YES
136,Identification and epidemiological characterization of Type-2 diabetes sub-population using an unsupervised machine learning approach,YES
137,A deep learning-based radiomics approach to predict head and neck tumor regression for adaptive radiotherapy,YES
138,Radiomics-based machine learning models to distinguish between metastatic and healthy bone using lesion-center-based geometric regions of interest,YES
139,Rule extraction from biased random forest and fuzzy support vector machine for early diagnosis of diabetes,YES
140,A machine learning based model accurately predicts cellular response to electric fields in multiple cell types,YES
141,Differential grey matter structure in women with premenstrual dysphoric disorder: evidence from brain morphometry and data-driven classification,YES
142,Predicting Parkinson disease related genes based on PyFeat and gradient boosted decision tree,YES
143,Machine learning/molecular dynamic protein structure prediction approach to investigate the protein conformational ensemble,YES
144,Artificial intelligence for radiological paediatric fracture assessment: a systematic review,YES
145,Evaluation of the models generated from clinical features and deep learning-based segmentations: Can thoracic CT on admission help us to predict hospitalized COVID-19 patients who will require intensive care?,YES
146,Machine-learning based routing of callers in an Israeli mental health hotline,YES
147,Using deep learning to predict abdominal age from liver and pancreas magnetic resonance images,YES
148,A machine learning algorithm with subclonal sensitivity reveals widespread pan-cancer human leukocyte antigen loss of heterozygosity,YES
149,Nucleosome positioning based on DNA sequence embedding and deep learning,YES
150,A weakly supervised deep learning-based method for glioma subtype classification using WSI and mpMRIs,YES
151,QSAR analysis on a large and diverse set of potent phosphoinositide 3-kinase gamma (PI3Kγ) inhibitors using MLR and ANN methods,YES
152,A machine-learning based objective measure for ALS disease severity,YES
153,Cisplatin resistance-related multi-omics differences and the establishment of machine learning models,YES
154,Optimization of cognitive assessment in Parkinsonisms by applying artificial intelligence to a comprehensive screening test,YES
155,Machine learning approaches to the human metabolome in sepsis identify metabolic links with survival,YES
156,Super-resolution generative adversarial networks with static T2*WI-based subject-specific learning to improve spatial difference sensitivity in fMRI activation,YES
157,Compilation of parasitic immunogenic proteins from 30 years of published research using machine learning and natural language processing,YES
158,Artificial intelligence for assessment of Stargardt macular atrophy,YES
159,Artificial intelligence guided conformational mining of intrinsically disordered proteins,YES
160,"A deep learning based multimodal interaction system for bed ridden and immobile hospital admitted patients: design, development and evaluation",YES
161,Multimodal deep learning for Alzheimer’s disease dementia assessment,YES
162,Machine learning-based ABA treatment recommendation and personalization for autism spectrum disorder: an exploratory study,YES
163,Prediction of lymphedema occurrence in patients with breast cancer using the optimized combination of ensemble learning algorithm and feature selection,YES
164,Combining symbolic regression with the Cox proportional hazards model improves prediction of heart failure deaths,YES
165,A process mining- deep learning approach to predict survival in a cohort of hospitalized COVID‐19 patients,YES
166,Evaluation of auto-segmentation for EBRT planning structures using deep learning-based workflow on cervical cancer,YES
167,Construction of a predictive model for immunotherapy efficacy in lung squamous cell carcinoma based on the degree of tumor-infiltrating immune cells and molecular typing,YES
168,"Leveraging artificial intelligence and data science techniques in harmonizing, sharing, accessing and analyzing SARS-COV-2/COVID-19 data in Rwanda (LAISDAR Project): study design and rationale",YES
169,K-mer applied in Mycobacterium tuberculosis genome cluster analysis,YES
170,Predicting lymph node metastasis and prognosis of individual cancer patients based on miRNA-mediated RNA interactions,YES
171,Interactive single-cell data analysis using Cellar,YES
172,Effect of an artificial intelligence-assisted tool on non-valvular atrial fibrillation anticoagulation management in primary care: protocol for a cluster randomized controlled trial,YES
173,Deep learning-based single image super-resolution for low-field MR brain images,YES
174,Development and validation of a prediction model for in-hospital mortality of patients with severe thrombocytopenia,YES
175,A high-generalizability machine learning framework for predicting the progression of Alzheimer’s disease using limited data,YES
176,GFNet: Automatic segmentation of COVID-19 lung infection regions using CT images based on boundary features,YES
177,A possibilistic-robust-fuzzy programming model for designing a game theory based blood supply chain network,YES
178,Fuzzy constraint-based agent negotiation framework for doctor-patient shared decision-making,YES
179,Neural network methods for diagnosing patient conditions from cardiopulmonary exercise testing data,YES
180,Detection of developmental dysplasia of the hip in X-ray images using deep transfer learning,YES
181,TMbed: transmembrane proteins predicted through language model embeddings,YES
182,A scoping review of gamification for mental health in children: Uncovering its key features and impact,YES
183,Risk score prediction model based on single nucleotide polymorphism for predicting malaria: a machine learning approach,YES
184,Performance and usability testing of an automated tool for detection of peripheral artery disease using electronic health records,YES
