,TITLE,ACCEPTED
472,Prediction of high infiltration levels in pituitary adenoma using MRI-based radiomics and machine learning,YES
473,Decision Tree Algorithm for Diagnosis and Severity Analysis of COVID-19 at Outpatient Clinic,YES
474,Real-Time and Web-Based Structural Damage Detection Network for Multiple Structures,YES
475,Texture Analysis and Feature Extraction in Tumor Skin Cancer: Survey,YES
476,Review on Lung Nodule Segmentation-Based Lung Cancer Classification Using Machine Learning Approaches,YES
477,Development and validation of an abnormality-derived deep-learning diagnostic system for major respiratory diseases,YES
478,Predicting genes associated with RNA methylation pathways using machine learning,YES
479,Deep learning of ECG waveforms for diagnosis of heart failure with a reduced left ventricular ejection fraction,YES
480,Qualitative Abnormalities of Peripheral Blood Smear Images Using Deep Learning Techniques,YES
481,Pre-Trained Deep Neural Network-Based Computer-Aided Breast Tumor Diagnosis Using ROI Structures,YES
482,A Novel Technique for Detecting Various Thyroid Diseases Using Deep Learning,YES
483,Decision Support System for Fast Provision of Healthcare Facilities in Response to COVID-19 Pandemic Outbreak,YES
484,Controlling of the Upper Limb Prosthesis Using Camera and Artificial Neural Networks,YES
485,Effect of Different Doses of Vitamin C Supplementation on Health and Performance of Badminton Players Based on Machine Learning,YES
486,Construction and validation of immune-related LncRNAs classifier to predict prognosis and immunotherapy response in laryngeal squamous cell carcinoma,YES
487,Machine learning and bioinformatics approaches for classification and clinical detection of bevacizumab responsive glioblastoma subtypes based on miRNA expression,YES
488,Application of artificial intelligence in cataract management: current and future directions,YES
489,Machine learning to predict end stage kidney disease in chronic kidney disease,YES
490,A deep learning model and human-machine fusion for prediction of EBV-associated gastric cancer from histopathology,YES
491,Machine-learning algorithms based on personalized pathways for a novel predictive model for the diagnosis of hepatocellular carcinoma,YES
492,A novel machine learning model to predict respiratory failure and invasive mechanical ventilation in critically ill patients suffering from COVID-19,YES
493,Rapid species identification of pathogenic bacteria from a minute quantity exploiting three-dimensional quantitative phase imaging and artificial neural network,YES
494,Prediction of 3-year risk of diabetic kidney disease using machine learning based on electronic medical records,YES
495,Prognosis patients with COVID-19 using deep learning,YES
496,Predicting the number of COVID-19 infections and deaths in USA,YES
497,Artificial Intelligence in Infection Management in the ICU,YES
498,Comparative performance of fully-automated and semi-automated artificial intelligence methods for the detection of clinically significant prostate cancer on MRI: a systematic review,YES
499,How to Improve the Teaching of Computational Machine Learning Applied to Large-Scale Data Science: The Case of Public Universities in Mexico,YES
500,Accuracy and efficiency of automatic tooth segmentation in digital dental models using deep learning,YES
501,Predicting persistent central serous chorioretinopathy using multiple optical coherence tomographic images by deep learning,YES
502,Neural network-based clustering model of ischemic stroke patients with a maximally distinct distribution of 1-year vascular outcomes,YES
503,Intermediate-risk pulmonary embolism: echocardiography predictors of clinical deterioration,YES
504,Deep learning features encode interpretable morphologies within histological images,YES
505,Deep-learning-based analysis of preoperative MRI predicts microvascular invasion and outcome in hepatocellular carcinoma,YES
506,Study on image data cleaning method of early esophageal cancer based on VGG_NIN neural network,YES
507,"Investigation of the Anticancer Potential of 2-alkoxycarbonylallyl Esters Against Metastatic Murine Breast Cancer Line 4T1 Targeting the EGFR: A Combined Molecular Docking, QSAR, and Machine Learning Approach",YES
508,Time-resolved trajectory of glucose lowering medications and cardiovascular outcomes in type 2 diabetes: a recurrent neural network analysis,YES
509,A lightweight hybrid deep learning system for cardiac valvular disease classification,YES
510,A secondary EWMA-based dictionary learning algorithm for polynomial phase signal denoising,YES
511,Non-linear machine learning models incorporating SNPs and PRS improve polygenic prediction in diverse human populations,YES
512,Field validation of deep learning based Point-of-Care device for early detection of oral malignant and potentially malignant disorders,YES
513,A machine learning framework supporting prospective clinical decisions applied to risk prediction in oncology,YES
514,WACPN: A Neural Network for Pneumonia Diagnosis,YES
515,Advanced deep learning approaches to predict supply chain risks under COVID-19 restrictions,YES
516,Regularised Layerwise Weight Norm Based Skin Lesion Features Extraction and Classification,YES
517,"Classification of cognitively normal controls, mild cognitive impairment and Alzheimer's disease using transfer learning approach",YES
518,Characteristic patch-based deep and handcrafted feature learning for red lesion segmentation in fundus images,YES
519,ALCNN: Attention based lightweight convolutional neural network for pneumothorax detection in chest X-rays,YES
520,Segmentation of lung cancer-caused metastatic lesions in bone scan images using self-defined model with deep supervision,YES
521,Application of artificial intelligence-based dual-modality analysis combining fundus photography and optical coherence tomography in diabetic retinopathy screening in a community hospital,YES
522,Automated diagnosis and prognosis of COVID-19 pneumonia from initial ER chest X-rays using deep learning,YES
523,Multi-task deep learning for glaucoma detection from color fundus images,YES
524,Decision effect of a deep-learning model to assist a head computed tomography order for pediatric traumatic brain injury,YES
525,Structure-based prediction of BRAF mutation classes using machine-learning approaches,YES
526,Machine learning prediction of hematoma expansion in acute intracerebral hemorrhage,YES
527,Cervical Cancer Detection Based on Novel Decision Tree Approach,YES
528,Novel Contiguous Cross Propagation Neural Network Built CAD for Lung Cancer,YES
529,Big Data Analytics with Optimal Deep Learning Model for Medical Image Classification,YES
530,Identifying chemically similar multiphase nanoprecipitates in compositionally complex non-equilibrium oxides via machine learning,YES
531,Machine learning to predict metabolic drug interactions related to cytochrome P450 isozymes,YES
532,Machine learning-enabled cancer diagnostics with widefield polarimetric second-harmonic generation microscopy,YES
533,"Identifying Potential Factors Associated with High HIV viral load in KwaZulu-Natal, South Africa using Multiple Correspondence Analysis and Random Forest Analysis",YES
534,Does artificial intelligence aid in the detection of different types of breast cancer?,YES
535,The development of an eye movement-based deep learning system for laparoscopic surgical skills assessment,YES
536,Machine learning algorithm to characterize antimicrobial resistance associated with the International Space Station surface microbiome,YES
537,"Astrocytoma, ependymoma, and oligodendroglioma classification with deep convolutional neural network",YES
538,Pneumonia binary classification using multi-scale feature classification network on chest x-ray images,YES
539,Brain tumor segmentation using double density dual tree complex wavelet transform combined with convolutional neural network and genetic algorithm,YES
540,Applying machine learning and predictive modeling to retention and viral suppression in South African HIV treatment cohorts,YES
541,A robust framework to investigate the reliability and stability of explainable artificial intelligence markers of Mild Cognitive Impairment and Alzheimer’s Disease,YES
542,A review of deep learning applications in human genomics using next-generation sequencing data,YES
543,Deep learning as a novel method for endoscopic diagnosis of chronic atrophic gastritis: a prospective nested case–control study,YES
544,The efficacy of deep learning models in the diagnosis of endometrial cancer using MRI: a comparison with radiologists,YES
545,Application of machine learning methods for predicting infant mortality in Rwanda: analysis of Rwanda demographic health survey 2014–15 dataset,YES
546,Machine Learning and IoT-Based Automatic Health Monitoring System,YES
547,Prediction and analysis of COVID-19 daily new cases and cumulative cases: times series forecasting and machine learning models,YES
548,Deep transfer learning to quantify pleural effusion severity in chest X-rays,YES
549,Deep learning of chest X-rays can predict mechanical ventilation outcome in ICU-admitted COVID-19 patients,YES
550,Machine learning models for prediction of adverse events after percutaneous coronary intervention,YES
551,Functional characterization of variants of unknown significance in a spinocerebellar ataxia patient using an unsupervised machine learning pipeline,YES
552,Deep learning model for tongue cancer diagnosis using endoscopic images,YES
553,Artificial intelligence significantly improves the diagnostic accuracy of deep myxoid soft tissue lesions in histology,YES
554,A machine learning algorithm for electrocardiographic fQRS quantification validated on multi-center data,YES
555,Building a model for predicting metabolic syndrome using artificial intelligence based on an investigation of whole-genome sequencing,YES
